id,bacnetConn,bacnetDeviceName,bacnetDeviceStatus,bacnetVersion,conn,connOpenRetryFreq,connPingFreq,connState,connStatus,connTuningRef,dis,disabled,modelName,uri,vendorName,mod
@p:heapywakemed:r:2cd9d445-5bae340f VAV_1235,✓,TB1235,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1235,"",MP-V-7A,bacnet://10.146.157.32/151026,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-7face00f VAV_1606,✓,TB1606,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1606,"",MP-V-7A,bacnet://10.146.157.74/151043,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-6f1f45b9 CHW-System-ChwSys,✓,CWSYS,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2d387448-40939012 ConnTuning_1min,CHW-System-ChwSys,"",MP-C-24A,bacnet://10.146.157.68/150004,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-2a809a89 VAV_1317,✓,TB1317,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1317,"",MP-V-7A,bacnet://10.146.157.40/151036,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-c5cb15b9 VAV_1203,✓,TB1203,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1203,"",MP-V-7A,bacnet://10.146.157.34/151006,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-48b86bd2 VAV_1217,✓,TB1217,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1217,"",MP-V-7A,bacnet://10.146.157.59/151017,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-e08d3fbd VAV_1216,✓,TB1216,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1216,"",MP-V-7A,bacnet://10.146.157.64/151016,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d417-8d26aee9 HHW-System-HwP2,✓,ABB ECLIPSE 80 ACH580 113005,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2d387448-40939012 ConnTuning_1min,HHW-System-HwP2,"",ABB ECLIPSE 80 ACH580,bacnet://10.146.157.1/113005?dnet=13000&dadr=5,"ABB, Inc.",2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-cd188da9 VAV_1308,✓,TB1308,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1308,"",MP-V-7A,bacnet://10.146.157.43/151030,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-ae522a12 VAV_1211,✓,TB1211,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1211,"",MP-V-7A,bacnet://10.146.157.58/151011,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-03d0afdb VAV_1105,✓,TB1105,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1105,"",MP-V-7A,bacnet://10.146.157.72/151002,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d417-cd32670d CHW-System-Chiller,✓,POL904_078410,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2d387448-40939012 ConnTuning_1min,CHW-System-Chiller,"",AGZ,bacnet://10.146.157.1/113007?dnet=13000&dadr=7,Daikin Applied,2024-06-10T19:39:24.09Z UTC
@p:heapywakemed:r:2cd9d445-506fd677 VAV_1106,✓,TB1106,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1106,"",MP-V-7A,bacnet://10.146.157.25/151003,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-e5158061 VAV_1104,✓,TB1104,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1104,"",MP-V-7A,bacnet://10.146.157.38/151001,Schneider Electric,2024-03-25T15:32:45.082Z UTC
@p:heapywakemed:r:2cd9d417-c0ebf4aa UH_1604,✓,SE8350U0Bxx-1,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,UH_1604,"",SE8350U0Bxx,bacnet://10.146.157.1/114001?dnet=14000&dadr=1,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd724b2-88ea28ae AHU-1-SaFan,✓,"","","",✓,60min,60min,closed,disabled,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,AHU-1-SaFan,✓,"",bacnet://10.146.157.1/113001?dnet=13000&dadr=1,"",2023-11-15T19:19:33.426Z UTC
@p:heapywakemed:r:2cd9d417-575df9a1 IsoRmMonitor,✓,NULL,OPERATIONAL_READ_ONLY,1.4,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,IsoRmMonitor,"",APM2-C,bacnet://10.146.157.1/113008?dnet=13000&dadr=8,SETRA,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-482ecb91 VAV_1218,✓,TB1218,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1218,"",MP-V-7A,bacnet://10.146.157.55/151018,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-91b7dcbc AHU-1-AHU_C2,✓,RTU_C2,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2d387448-40939012 ConnTuning_1min,AHU-1-AHU_C2,"",MP-C-36A,bacnet://10.146.157.21/150002,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-53f4dc17 VAV_1204,✓,TB1204,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1204,"",MP-V-7A,bacnet://10.146.157.36/151007,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-261f5f11 VAV_1310,✓,TB1310,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1310,"",MP-V-7A,bacnet://10.146.157.44/151032,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-a972fdea VAV_1701,✓,TB1701,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1701,"",MP-V-7A,bacnet://10.146.157.24/151045,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-f1cb7675 VAV_1200,✓,TB1200,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1200,"",MP-V-7A,bacnet://10.146.157.60/151005,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-dedb1297 VAV_1219,✓,TB1219,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1219,"",MP-V-7A,bacnet://10.146.157.65/151019,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d417-528129b2 UH_1322,✓,SE8350U0Bxx-2,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,UH_1322,"",SE8350U0Bxx,bacnet://10.146.157.1/114002?dnet=14000&dadr=2,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-c7619ce1 VAV_1233,✓,TB1233,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1233,"",MP-V-7A,bacnet://10.146.157.37/151024,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-6beab3d4 Lab_1401,✓,Lab_1401,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,Lab_1401,"",MP-C-18A,bacnet://10.146.157.35/150003,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-64936535 VAV_1206,✓,TB1206,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1206,"",MP-V-7A,bacnet://10.146.157.51/151009,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-ac3d412b VAV_1205,✓,TB1205,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1205,"",MP-V-7A,bacnet://10.146.157.39/151008,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-693d6511 VAV_1228,✓,TB1228,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1228,"",MP-V-7A,bacnet://10.146.157.31/151023,Schneider Electric,2024-02-22T13:33:53.96Z UTC
@p:heapywakemed:r:2cd9d445-8e481a61 VAV_1222,✓,TB1222,OPERATIONAL,1.14,✓,60min,60min,open,ok,@p:heapywakemed:r:2cd9d0ea-c4eb4f4d ConnTuning_5min,VAV_1222,"",MP-V-7A,bacnet://10.146.157.52/151020,Schneider Electric,2024-02-22T13:33:53.96Z UTC
