Name,deviceId,network,mac,ipAddress
AHU_C1,150001,15000,,10.146.157.20
AHU_C2,150002,15000,,10.146.157.21
SaFan,113001,13000,1,10.146.157.1
RaFan,113002,13000,2,10.146.157.1
IsoRmMonitor,113008,13000,8,10.146.157.1
ChwSys,150004,15000,,10.146.157.68
HwSys,150005,15000,,10.146.157.69
ChwP1,113003,13000,3,10.146.157.1
ChwP2,113004,13000,4,10.146.157.1
HwP1,113006,13000,6,10.146.157.1
HwP2,113005,13000,5,10.146.157.1
Chiller,113007,13000,7,10.146.157.1
UH_1604,114001,14000,1,10.146.157.1
UH_1322,114002,14000,2,10.146.157.1
CUH_1221,114003,14000,3,10.146.157.1
Lab_1401,150003,15000,,10.146.157.35
VAV_1104,151001,15000,,10.146.157.38
VAV_1105,151002,15000,,10.146.157.30
VAV_1106,151003,15000,,10.146.157.25
VAV_1108,151004,15000,,10.146.157.29
VAV_1200,151005,15000,,10.146.157.60
VAV_1203,151006,15000,,10.146.157.34
VAV_1204,151007,15000,,10.146.157.36
VAV_1205,151008,15000,,10.146.157.39
VAV_1206,151009,15000,,10.146.157.51
VAV_1210,151010,15000,,10.146.157.61
VAV_1211,151011,15000,,10.146.157.58
VAV_1212,151012,15000,,10.146.157.53
VAV_1213,151013,15000,,10.146.157.62
VAV_1214,151014,15000,,10.146.157.54
VAV_1215,151015,15000,,10.146.157.56
VAV_1216,151016,15000,,10.146.157.64
VAV_1217,151017,15000,,10.146.157.59
VAV_1218,151018,15000,,10.146.157.55
VAV_1219,151019,15000,,10.146.157.65
VAV_1222,151020,15000,,10.146.157.52
VAV_1225,151021,15000,,10.146.157.50
VAV_1226,151022,15000,,10.146.157.28
VAV_1228,151023,15000,,10.146.157.31
VAV_1233,151024,15000,,10.146.157.37
VAV_1234,151025,15000,,10.146.157.33
VAV_1235,151026,15000,,10.146.157.32
VAV_1301,151027,15000,,10.146.157.23
VAV_1302,151028,15000,,10.146.157.26
VAV_1304,151029,15000,,10.146.157.27
VAV_1308,151030,15000,,10.146.157.43
VAV_1309,151031,15000,,10.146.157.41
VAV_1310,151032,15000,,10.146.157.44
VAV_1311,151033,15000,,10.146.157.48
VAV_1312,151034,15000,,10.146.157.66
VAV_1313,151035,15000,,10.146.157.42
VAV_1317,151036,15000,,10.146.157.40
VAV_1322,151037,15000,,10.146.157.47
VAV_1323,151038,15000,,10.146.157.49
VAV_1501,151040,15000,,10.146.157.45
VAV_1603,151041,15000,,10.146.157.46
VAV_1605,151042,15000,,10.146.157.67
VAV_1606,151043,15000,,10.146.157.57
VAV_1607,151044,15000,,10.146.157.63
VAV_1701,151045,15000,,10.146.157.24
